question,intent,entity,answer
Thủ đô của Việt Nam là gì?,capital_city,Vietnam,Hà Nội là thủ đô của Việt Nam.
Pháp có thủ đô là gì?,capital_city,France,Paris là thủ đô của Pháp.
Sông lớn nhất ở Ai Cập là gì?,largest_river,Egypt,Sông Nile là con sông lớn nhất tại Ai Cập.
Dãy núi nào là lớn nhất thế giới?,mountain_range,Himalayas,Dãy núi Himalaya là một trong những dãy núi lớn nhất thế giới.
Đơn vị tiền tệ của Nhật Bản là gì?,currency,Japan,Yên là đơn vị tiền tệ của Nhật Bản.
Thủ đô của Phần Lan là gì?,capital_city,Finland,Helsinki là thủ đô của Phần Lan.
Sông nào là dài nhất ở Mỹ?,longest_river,United States,Mississippi là con sông dài nhất ở Mỹ.
Dãy núi Rocky nằm ở đâu?,mountain_range,North America,Dãy núi Rocky nằm ở Bắc Mỹ.
Tiền tệ của Úc là gì?,currency,Australia,Đô la Australia là đơn vị tiền tệ của Úc.
Thành phố nào là thủ đô của Ý?,capital_city,Italy,Rome là thủ đô của Ý.
Cao nguyên nào là lớn nhất thế giới?,largest_plateau,Tibet,Cao nguyên Tibet là cao nguyên lớn nhất thế giới.
Đơn vị tiền tệ của Hàn Quốc là gì?,currency,South Korea,Đồng là đơn vị tiền tệ của Hàn Quốc.
Thủ đô của Brazil là gì?,capital_city,Brazil,Brasília là thủ đô của Brazil.
Dãy núi nào nằm ở biên giới giữa Úc và New Zealand?,mountain_range,Australia,Alps Australia là dãy núi nằm ở biên giới giữa Úc và New Zealand.
Sông nào chảy qua thủ đô Paris?,major_river,France,Sông Seine chảy qua thủ đô Paris.
Dãy núi nào nằm ở biên giới giữa Nepal và Trung Quốc?,mountain_range,Nepal,Himalaya là dãy núi nằm ở biên giới giữa Nepal và Trung Quốc.
Thành phố nào là trung tâm tài chính của Nhật Bản?,financial_center,Japan,Tokyo là trung tâm tài chính của Nhật Bản.
Sông nào là con sông dài nhất thế giới?,longest_river,Worldwide,Sông Amazon là con sông dài nhất thế giới.
Cao nguyên nào là nơi sinh sống của bản dân tộc Tây Tạng?,plateau,Tibet,Cao nguyên Tây Tạng là nơi sinh sống của bản dân tộc Tây Tạng.
Con sông dài nhất ở Vương quốc Anh là gì?,longest_river,United Kingdom,Sông Severn dài nhất Anh.
Thực vật nào sản xuất năng lượng thông qua quang hợp?,biology,Plants,Thực vật sản xuất năng lượng thông qua quang hợp trong quá trình này chúng sử dụng ánh sáng mặt trời để tạo năng lượng từ CO2 và nước.
Nhân vật chính trong tiểu thuyết "Harry Potter" là ai?,literature,Harry Potter,Harry Potter là nhân vật chính trong loạt tiểu thuyết của J.K. Rowling.
